Amostra, Temperature, Cellulose_Fraction, Hemicellulose_Fraction, Lignin_Fraction, Solids_Loading, Time_min , Cellulose_Real, Hemicellulose_Real, Cellulose_Pred, Hemicellulose_Pred, Cellulose_AE, Hemicellulose_AE, Cellulose_RE, Hemicellulose_RE, Total_AE
     25,  206.465200,           0.480100,               0.298100,        0.221800,      98.204900, 15.000000,      29.183900,           1.546300,      28.705023,           1.538877,     0.478877,         0.007423,     1.640895,         0.480048, 0.486300
     26,  206.465200,           0.480100,               0.298100,        0.221800,      98.204900, 20.000000,      24.871400,           0.580100,      24.882702,           0.786020,     0.011302,         0.205920,     0.045441,        35.497335, 0.217222
     27,  206.465200,           0.480100,               0.298100,        0.221800,      98.204900, 30.000000,      18.063900,           0.081700,      17.635408,           0.000000,     0.428492,         0.081700,     2.372088,       100.000000, 0.510192
     28,  206.465200,           0.480100,               0.298100,        0.221800,      98.204900, 40.000000,      13.119700,           0.011500,      13.364734,           0.000000,     0.245034,         0.011500,     1.867678,       100.000000, 0.256534
     29,  192.421300,           0.402300,               0.217100,        0.380600,      92.768700,  0.000000,      37.316400,          20.141900,      37.320847,          20.140085,     0.004447,         0.001815,     0.011916,         0.009010, 0.006261
     30,  192.421300,           0.402300,               0.217100,        0.380600,      92.768700,  5.000000,      34.996800,          12.720900,      34.438801,          12.487832,     0.557999,         0.233068,     1.594429,         1.832165, 0.791067
     31,  192.421300,           0.402300,               0.217100,        0.380600,      92.768700, 10.000000,      32.821300,           8.034000,      32.742245,           8.578677,     0.079055,         0.544677,     0.240866,         6.779651, 0.623732
     32,  192.421300,           0.402300,               0.217100,        0.380600,      92.768700, 15.000000,      30.781100,           5.074000,      29.678223,           4.689120,     1.102877,         0.384880,     3.582969,         7.585341, 1.487758
     33,  192.421300,           0.402300,               0.217100,        0.380600,      92.768700, 20.000000,      28.867700,           3.204500,      28.146465,           2.784717,     0.721235,         0.419783,     2.498414,        13.099802, 1.141018
     34,  192.421300,           0.402300,               0.217100,        0.380600,      92.768700, 30.000000,      25.390300,           1.278100,      24.259712,           1.591590,     1.130588,         0.313490,     4.452833,        24.527828, 1.444078
     35,  192.421300,           0.402300,               0.217100,        0.380600,      92.768700, 40.000000,      22.331800,           0.509800,      22.303534,           0.717811,     0.028266,         0.208011,     0.126575,        40.802376, 0.236277
     36,  190.740100,           0.490600,               0.250900,        0.258500,     104.195900,  0.000000,      51.115300,          26.141900,      51.118507,          26.142752,     0.003207,         0.000852,     0.006275,         0.003258, 0.004059
     37,  190.740100,           0.490600,               0.250900,        0.258500,     104.195900,  5.000000,      48.183000,          17.112200,      49.461117,          16.929783,     1.278117,         0.182417,     2.652630,         1.066006, 1.460534
     38,  190.740100,           0.490600,               0.250900,        0.258500,     104.195900, 10.000000,      45.418900,          11.201400,      46.493446,          11.089945,     1.074546,         0.111455,     2.365857,         0.995011, 1.186002
     39,  190.740100,           0.490600,               0.250900,        0.258500,     104.195900, 15.000000,      42.813300,           7.332200,      43.581478,           7.483534,     0.768178,         0.151334,     1.794251,         2.063963, 0.919512
     40,  190.740100,           0.490600,               0.250900,        0.258500,     104.195900, 20.000000,      40.357300,           4.799500,      41.172585,           4.026506,     0.815285,         0.772994,     2.020166,        16.105711, 1.588278
     41,  190.740100,           0.490600,               0.250900,        0.258500,     104.195900, 30.000000,      35.859700,           2.056500,      36.394142,           2.552336,     0.534442,         0.495836,     1.490370,        24.110696, 1.030279
     42,  190.740100,           0.490600,               0.250900,        0.258500,     104.195900, 40.000000,      31.863400,           0.881100,      31.495203,           1.465242,     0.368197,         0.584142,     1.155548,        66.296864, 0.952339
     43,  203.568900,           0.452600,               0.272500,        0.274900,      76.167300,  0.000000,      34.473300,          20.758000,      34.473320,          20.755589,     0.000020,         0.002411,     0.000058,         0.011617, 0.002431
     44,  203.568900,           0.452600,               0.272500,        0.274900,      76.167300,  5.000000,      30.038900,           8.761100,      29.476555,           9.027863,     0.562345,         0.266763,     1.872056,         3.044852, 0.829108
     45,  203.568900,           0.452600,               0.272500,        0.274900,      76.167300, 10.000000,      26.174800,           3.697600,      26.274343,           3.241154,     0.099543,         0.456446,     0.380303,        12.344380, 0.555989
     46,  203.568900,           0.452600,               0.272500,        0.274900,      76.167300, 15.000000,      22.807800,           1.560500,      23.282692,           1.594203,     0.474892,         0.033703,     2.082147,         2.159764, 0.508595
     47,  203.568900,           0.452600,               0.272500,        0.274900,      76.167300, 20.000000,      19.874000,           0.658600,      20.260223,           0.761445,     0.386223,         0.102845,     1.943360,        15.615743, 0.489069
     48,  203.568900,           0.452600,               0.272500,        0.274900,      76.167300, 30.000000,      15.089800,           0.117300,      14.341858,           0.000000,     0.747942,         0.117300,     4.956607,       100.000000, 0.865242
     49,  203.568900,           0.452600,               0.272500,        0.274900,      76.167300, 40.000000,      11.457300,           0.020900,      11.089494,           0.000000,     0.367806,         0.020900,     3.210235,       100.000000, 0.388706
     50,  183.302000,           0.445900,               0.249800,        0.304300,      71.719100,  0.000000,      31.977800,          17.916300,      31.979548,          17.915432,     0.001748,         0.000868,     0.005465,         0.004845, 0.002616
     51,  183.302000,           0.445900,               0.249800,        0.304300,      71.719100,  5.000000,      30.831200,          13.741000,      30.634966,          13.882704,     0.196234,         0.141704,     0.636479,         1.031248, 0.337938
     52,  183.302000,           0.445900,               0.249800,        0.304300,      71.719100, 10.000000,      29.725700,          10.538700,      29.147518,          10.590290,     0.578182,         0.051590,     1.945057,         0.489530, 0.629772
     53,  183.302000,           0.445900,               0.249800,        0.304300,      71.719100, 15.000000,      28.659800,           8.082700,      28.162868,           8.480743,     0.496932,         0.398043,     1.733897,         4.924634, 0.894975
     54,  183.302000,           0.445900,               0.249800,        0.304300,      71.719100, 20.000000,      27.632100,           6.199100,      28.530321,           6.158171,     0.898221,         0.040929,     3.250644,         0.660246, 0.939150
     55,  183.302000,           0.445900,               0.249800,        0.304300,      71.719100, 30.000000,      25.686000,           3.646400,      26.374493,           3.665872,     0.688493,         0.019472,     2.680420,         0.534009, 0.707965
     56,  183.302000,           0.445900,               0.249800,        0.304300,      71.719100, 40.000000,      23.877000,           2.144800,      23.925346,           2.691351,     0.048346,         0.546551,     0.202481,        25.482595, 0.594897
     57,  182.281800,           0.353700,               0.297500,        0.348900,      81.868900,  0.000000,      28.954900,          24.353800,      28.957029,          24.355997,     0.002129,         0.002197,     0.007354,         0.009022, 0.004326
     58,  182.281800,           0.353700,               0.297500,        0.348900,      81.868900,  5.000000,      28.003200,          19.088600,      27.920979,          16.775528,     0.082221,         2.313072,     0.293614,        12.117557, 2.395293
     59,  182.281800,           0.353700,               0.297500,        0.348900,      81.868900, 10.000000,      27.082800,          14.961700,      27.302668,          13.675617,     0.219868,         1.286083,     0.811835,         8.595833, 1.505950
     60,  182.281800,           0.353700,               0.297500,        0.348900,      81.868900, 15.000000,      26.192600,          11.727000,      26.045692,          11.250910,     0.146908,         0.476090,     0.560874,         4.059778, 0.622998
     61,  182.281800,           0.353700,               0.297500,        0.348900,      81.868900, 20.000000,      25.331700,           9.191600,      24.625969,           8.907584,     0.705731,         0.284016,     2.785960,         3.089950, 0.989747
     62,  182.281800,           0.353700,               0.297500,        0.348900,      81.868900, 30.000000,      23.693800,           5.646800,      24.079391,           5.673566,     0.385591,         0.026766,     1.627394,         0.474001, 0.412357
     63,  182.281800,           0.353700,               0.297500,        0.348900,      81.868900, 40.000000,      22.161800,           3.469000,      22.239759,           4.459841,     0.077959,         0.990841,     0.351774,        28.562734, 1.068801
     64,  185.843900,           0.443800,               0.160700,        0.395500,     142.592000,  0.000000,      63.284000,          22.909600,      63.282330,          22.914534,     0.001670,         0.004934,     0.002640,         0.021535, 0.006604
     65,  185.843900,           0.443800,               0.160700,        0.395500,     142.592000,  5.000000,      60.546200,          16.644700,      60.511452,          17.500383,     0.034748,         0.855683,     0.057391,         5.140876, 0.890432
     66,  185.843900,           0.443800,               0.160700,        0.395500,     142.592000, 10.000000,      57.926800,          12.092900,      58.537247,          12.198741,     0.610447,         0.105841,     1.053824,         0.875232, 0.716288
     67,  185.843900,           0.443800,               0.160700,        0.395500,     142.592000, 15.000000,      55.420700,           8.785900,      56.568642,           9.512388,     1.147942,         0.726488,     2.071323,         8.268797, 1.874430
     68,  185.843900,           0.443800,               0.160700,        0.395500,     142.592000, 20.000000,      53.023100,           6.383200,      53.884331,           6.217149,     0.861231,         0.166051,     1.624256,         2.601371, 1.027281
     69,  185.843900,           0.443800,               0.160700,        0.395500,     142.592000, 30.000000,      48.534500,           3.369300,      49.174824,           3.377977,     0.640324,         0.008677,     1.319317,         0.257521, 0.649000
     70,  185.843900,           0.443800,               0.160700,        0.395500,     142.592000, 40.000000,      44.425800,           1.778500,      45.458942,           1.968471,     1.033142,         0.189971,     2.325546,        10.681546, 1.223114
     71,  192.263600,           0.490600,               0.261600,        0.247900,     132.067300,  0.000000,      64.791900,          34.542400,      64.792221,          34.548805,     0.000321,         0.006405,     0.000496,         0.018543, 0.006726
     72,  192.263600,           0.490600,               0.261600,        0.247900,     132.067300,  5.000000,      60.793400,          21.889200,      61.181496,          22.297676,     0.388096,         0.408476,     0.638385,         1.866108, 0.796572
     73,  192.263600,           0.490600,               0.261600,        0.247900,     132.067300, 10.000000,      57.041700,          13.870900,      56.464844,          12.463458,     0.576856,         1.407442,     1.011289,        10.146724, 1.984298
     74,  192.263600,           0.490600,               0.261600,        0.247900,     132.067300, 15.000000,      53.521400,           8.789700,      53.404888,           8.272986,     0.116512,         0.516714,     0.217692,         5.878626, 0.633225
     75,  192.263600,           0.490600,               0.261600,        0.247900,     132.067300, 20.000000,      50.218500,           5.569900,      50.397552,           4.635158,     0.179052,         0.934742,     0.356547,        16.782024, 1.113794
     76,  192.263600,           0.490600,               0.261600,        0.247900,     132.067300, 30.000000,      44.211400,           2.236500,      43.768204,           2.586448,     0.443196,         0.349948,     1.002448,        15.647125, 0.793144
     77,  192.263600,           0.490600,               0.261600,        0.247900,     132.067300, 40.000000,      38.922900,           0.898100,      37.591171,           1.502560,     1.331729,         0.604460,     3.421453,        67.304364, 1.936189
     78,  195.239300,           0.437800,               0.294100,        0.268100,      89.962400,  0.000000,      39.383200,          26.457200,      39.385540,          26.457941,     0.002340,         0.000741,     0.005942,         0.002801, 0.003081
     79,  195.239300,           0.437800,               0.294100,        0.268100,      89.962400,  5.000000,      36.580100,          15.663500,      37.033535,          15.538123,     0.453435,         0.125377,     1.239567,         0.800440, 0.578812
     80,  195.239300,           0.437800,               0.294100,        0.268100,      89.962400, 10.000000,      33.976500,           9.273200,      34.013203,           8.985396,     0.036703,         0.287804,     0.108024,         3.103606, 0.324506
     81,  195.239300,           0.437800,               0.294100,        0.268100,      89.962400, 15.000000,      31.558300,           5.489900,      31.049519,           4.095598,     0.508781,         1.394302,     1.612195,        25.397581, 1.903083
     82,  195.239300,           0.437800,               0.294100,        0.268100,      89.962400, 20.000000,      29.312100,           3.250100,      28.540688,           2.605535,     0.771412,         0.644565,     2.631720,        19.832151, 1.415977
     83,  195.239300,           0.437800,               0.294100,        0.268100,      89.962400, 30.000000,      25.288000,           1.139100,      24.174829,           1.271886,     1.113171,         0.132786,     4.401971,        11.657066, 1.245956
     84,  195.239300,           0.437800,               0.294100,        0.268100,      89.962400, 40.000000,      21.816400,           0.399200,      20.870625,           0.673265,     0.945775,         0.274065,     4.335158,        68.653657, 1.219841
     85,  193.884200,           0.491200,               0.274000,        0.234800,      73.112400,  0.000000,      35.913600,          20.034400,      35.912811,          20.032797,     0.000789,         0.001603,     0.002196,         0.008002, 0.002392
     86,  193.884200,           0.491200,               0.274000,        0.234800,      73.112400,  5.000000,      33.532000,          12.264800,      34.059692,          12.009879,     0.527692,         0.254921,     1.573698,         2.078476, 0.782613
     87,  193.884200,           0.491200,               0.274000,        0.234800,      73.112400, 10.000000,      31.308400,           7.508400,      30.839750,           7.681129,     0.468650,         0.172729,     1.496882,         2.300483, 0.641379
     88,  193.884200,           0.491200,               0.274000,        0.234800,      73.112400, 15.000000,      29.232200,           4.596500,      29.147238,           3.270102,     0.084962,         1.326398,     0.290646,        28.856705, 1.411361
     89,  193.884200,           0.491200,               0.274000,        0.234800,      73.112400, 20.000000,      27.293700,           2.813900,      26.981722,           2.320536,     0.311978,         0.493364,     1.143041,        17.533099, 0.805342
     90,  193.884200,           0.491200,               0.274000,        0.234800,      73.112400, 30.000000,      23.793800,           1.054500,      22.437794,           1.042861,     1.356006,         0.011639,     5.698990,         1.103747, 1.367645
     91,  193.884200,           0.491200,               0.274000,        0.234800,      73.112400, 40.000000,      20.742700,           0.395200,      19.332310,           0.447000,     1.410390,         0.051800,     6.799454,        13.107407, 1.462191
     92,  185.150300,           0.469200,               0.295100,        0.235700,      65.195200,  0.000000,      30.591200,          19.237000,      30.589588,          19.239103,     0.001612,         0.002103,     0.005269,         0.010934, 0.003715
     93,  185.150300,           0.469200,               0.295100,        0.235700,      65.195200,  5.000000,      29.329400,          14.184400,      30.359322,          16.246202,     1.029922,         2.061802,     3.511567,        14.535704, 3.091724
     94,  185.150300,           0.469200,               0.295100,        0.235700,      65.195200, 10.000000,      28.119600,          10.458800,      28.335661,          12.066176,     0.216061,         1.607376,     0.768364,        15.368650, 1.823437
     95,  185.150300,           0.469200,               0.295100,        0.235700,      65.195200, 15.000000,      26.959800,           7.711800,      28.086786,           8.644835,     1.126986,         0.933035,     4.180247,        12.098790, 2.060021
     96,  185.150300,           0.469200,               0.295100,        0.235700,      65.195200, 20.000000,      25.847700,           5.686200,      27.971447,           5.697320,     2.123747,         0.011120,     8.216387,         0.195561, 2.134867
     97,  185.150300,           0.469200,               0.295100,        0.235700,      65.195200, 30.000000,      23.759400,           3.091400,      24.985851,           3.465177,     1.226451,         0.373777,     5.161962,        12.090867, 1.600228
     98,  185.150300,           0.469200,               0.295100,        0.235700,      65.195200, 40.000000,      21.839800,           1.680700,      22.068840,           2.645574,     0.229040,         0.964874,     1.048728,        57.409075, 1.193914
     99,  200.744000,           0.417900,               0.290600,        0.291500,     134.766100,  0.000000,      56.316500,          39.160000,      56.318752,          39.163029,     0.002252,         0.003029,     0.003999,         0.007734, 0.005281
    100,  200.744000,           0.417900,               0.290600,        0.291500,     134.766100,  5.000000,      50.146600,          18.537800,      49.737106,          19.917528,     0.409494,         1.379728,     0.816593,         7.442783, 1.789222
    101,  200.744000,           0.417900,               0.290600,        0.291500,     134.766100, 10.000000,      44.652700,           8.775400,      43.944748,           9.126719,     0.707952,         0.351319,     1.585463,         4.003447, 1.059271
    102,  200.744000,           0.417900,               0.290600,        0.291500,     134.766100, 15.000000,      39.760700,           4.154000,      40.301476,           4.861560,     0.540776,         0.707560,     1.360075,        17.033229, 1.248336
    103,  200.744000,           0.417900,               0.290600,        0.291500,     134.766100, 20.000000,      35.404600,           1.966400,      35.459751,           2.231214,     0.055151,         0.264814,     0.155774,        13.466947, 0.319965
    104,  200.744000,           0.417900,               0.290600,        0.291500,     134.766100, 30.000000,      28.071800,           0.440600,      28.227285,           0.696905,     0.155485,         0.256305,     0.553885,        58.171747, 0.411790
    105,  200.744000,           0.417900,               0.290600,        0.291500,     134.766100, 40.000000,      22.257700,           0.098700,      22.986210,           0.000000,     0.728510,         0.098700,     3.273069,       100.000000, 0.827210
    106,  197.752400,           0.493100,               0.207800,        0.299100,     144.704600,  0.000000,      71.351400,          30.074900,      71.353836,          30.069616,     0.002436,         0.005284,     0.003414,         0.017568, 0.007720
    107,  197.752400,           0.493100,               0.207800,        0.299100,     144.704600,  5.000000,      65.008400,          16.077000,      64.225403,          15.842891,     0.782997,         0.234109,     1.204455,         1.456175, 1.017106
    108,  197.752400,           0.493100,               0.207800,        0.299100,     144.704600, 10.000000,      59.229200,           8.594100,      59.342228,           8.362611,     0.113028,         0.231489,     0.190831,         2.693583, 0.344517
    109,  197.752400,           0.493100,               0.207800,        0.299100,     144.704600, 15.000000,      53.963800,           4.594000,      55.220428,           4.316953,     1.256628,         0.277047,     2.328651,         6.030623, 1.533675
    110,  197.752400,           0.493100,               0.207800,        0.299100,     144.704600, 20.000000,      49.166500,           2.455700,      48.673283,           2.659254,     0.493217,         0.203554,     1.003157,         8.289055, 0.696772
    111,  197.752400,           0.493100,               0.207800,        0.299100,     144.704600, 30.000000,      40.813300,           0.701700,      40.882759,           1.291229,     0.069459,         0.589529,     0.170187,        84.014463, 0.658989
    112,  197.752400,           0.493100,               0.207800,        0.299100,     144.704600, 40.000000,      33.879300,           0.200500,      34.170341,           0.347985,     0.291041,         0.147485,     0.859054,        73.558678, 0.438527
    113,  189.430100,           0.438200,               0.295600,        0.266200,     122.847300,  0.000000,      53.828600,          36.311900,      53.831688,          36.313663,     0.003088,         0.001763,     0.005737,         0.004856, 0.004851
    114,  189.430100,           0.438200,               0.295600,        0.266200,     122.847300,  5.000000,      50.942600,          24.441900,      51.418339,          25.781738,     0.475739,         1.339838,     0.933872,         5.481727, 1.815577
    115,  189.430100,           0.438200,               0.295600,        0.266200,     122.847300, 10.000000,      48.211400,          16.452000,      47.127728,          15.887325,     1.083672,         0.564675,     2.247752,         3.432256, 1.648347
    116,  189.430100,           0.438200,               0.295600,        0.266200,     122.847300, 15.000000,      45.626600,          11.073900,      44.807991,          11.852074,     0.818609,         0.778174,     1.794149,         7.027097, 1.596783
    117,  189.430100,           0.438200,               0.295600,        0.266200,     122.847300, 20.000000,      43.180400,           7.453900,      42.557877,           8.297739,     0.622523,         0.843839,     1.441681,        11.320772, 1.466362
    118,  189.430100,           0.438200,               0.295600,        0.266200,     122.847300, 30.000000,      38.674400,           3.377000,      38.872562,           4.002428,     0.198162,         0.625428,     0.512387,        18.520227, 0.823590
    119,  189.430100,           0.438200,               0.295600,        0.266200,     122.847300, 40.000000,      34.638500,           1.530000,      34.261879,           2.511161,     0.376621,         0.981161,     1.087290,        64.128160, 1.357782
    120,  180.742500,           0.394300,               0.255500,        0.350200,      96.925600,  0.000000,      38.214400,          24.767000,      38.217766,          24.764490,     0.003366,         0.002510,     0.008808,         0.010134, 0.005876
    121,  180.742500,           0.394300,               0.255500,        0.350200,      96.925600,  5.000000,      37.131300,          20.059500,      36.019337,          17.906218,     1.111963,         2.153282,     2.994679,        10.734477, 3.265246
    122,  180.742500,           0.394300,               0.255500,        0.350200,      96.925600, 10.000000,      36.078900,          16.246700,      35.582626,          16.537100,     0.496274,         0.290400,     1.375523,         1.787439, 0.786673
    123,  180.742500,           0.394300,               0.255500,        0.350200,      96.925600, 15.000000,      35.056300,          13.158600,      34.762741,          13.909460,     0.293559,         0.750860,     0.837393,         5.706231, 1.044419
    124,  180.742500,           0.394300,               0.255500,        0.350200,      96.925600, 20.000000,      34.062700,          10.657500,      33.209045,          10.534812,     0.853655,         0.122688,     2.506127,         1.151190, 0.976343
    125,  180.742500,           0.394300,               0.255500,        0.350200,      96.925600, 30.000000,      32.159200,           6.991000,      33.010681,           5.479463,     0.851481,         1.511537,     2.647706,        21.621190, 2.363019
    126,  180.742500,           0.394300,               0.255500,        0.350200,      96.925600, 40.000000,      30.362100,           4.585900,      29.720984,           4.019561,     0.641116,         0.566339,     2.111568,        12.349565, 1.207455
    127,  183.571100,           0.433100,               0.274200,        0.292700,      71.097400,  0.000000,      30.791500,          19.494700,      30.792284,          19.494907,     0.000784,         0.000207,     0.002546,         0.001064, 0.000991
    128,  183.571100,           0.433100,               0.274200,        0.292700,      71.097400,  5.000000,      29.663100,          14.866100,      29.432360,          14.724268,     0.230740,         0.141832,     0.777870,         0.954064, 0.372572
    129,  183.571100,           0.433100,               0.274200,        0.292700,      71.097400, 10.000000,      28.576200,          11.336500,      27.732687,          11.365176,     0.843513,         0.028676,     2.951803,         0.252955, 0.872189
    130,  183.571100,           0.433100,               0.274200,        0.292700,      71.097400, 15.000000,      27.529000,           8.644800,      26.725666,           9.078981,     0.803334,         0.434181,     2.918137,         5.022457, 1.237515
    131,  183.571100,           0.433100,               0.274200,        0.292700,      71.097400, 20.000000,      26.520200,           6.592300,      27.282339,           6.741168,     0.762139,         0.148868,     2.873806,         2.258218, 0.911008
    132,  183.571100,           0.433100,               0.274200,        0.292700,      71.097400, 30.000000,      24.612200,           3.833500,      25.330786,           4.123021,     0.718586,         0.289521,     2.919632,         7.552397, 1.008107
    133,  183.571100,           0.433100,               0.274200,        0.292700,      71.097400, 40.000000,      22.841500,           2.229200,      23.054365,           3.126053,     0.212865,         0.896853,     0.931923,        40.232050, 1.109718
    134,  191.468100,           0.389500,               0.265600,        0.344900,      60.144500,  0.000000,      23.425800,          15.975700,      23.426283,          15.974380,     0.000483,         0.001320,     0.002061,         0.008265, 0.001803
    135,  191.468100,           0.389500,               0.265600,        0.344900,      60.144500,  5.000000,      22.033200,          10.296600,      22.276333,          11.172059,     0.243133,         0.875459,     1.103484,         8.502409, 1.118592
    136,  191.468100,           0.389500,               0.265600,        0.344900,      60.144500, 10.000000,      20.723400,           6.636300,      20.113861,           6.377156,     0.609539,         0.259144,     2.941307,         3.904943, 0.868683
    137,  191.468100,           0.389500,               0.265600,        0.344900,      60.144500, 15.000000,      19.491500,           4.277200,      19.343927,           4.003852,     0.147573,         0.273348,     0.757113,         6.390808, 0.420920
    138,  191.468100,           0.389500,               0.265600,        0.344900,      60.144500, 20.000000,      18.332800,           2.756700,      17.655973,           2.679688,     0.676827,         0.077012,     3.691889,         2.793631, 0.753839
    139,  191.468100,           0.389500,               0.265600,        0.344900,      60.144500, 30.000000,      16.217900,           1.145100,      15.515127,           1.578199,     0.702773,         0.433099,     4.333316,        37.821898, 1.135871
    140,  191.468100,           0.389500,               0.265600,        0.344900,      60.144500, 40.000000,      14.347000,           0.475600,      13.509670,           0.616175,     0.837330,         0.140575,     5.836271,        29.557313, 0.977904
    141,  199.445900,           0.376900,               0.279900,        0.343200,      59.120400,  0.000000,      22.285100,          16.545500,      22.282478,          16.547800,     0.002622,         0.002300,     0.011764,         0.013901, 0.004922
    142,  199.445900,           0.376900,               0.279900,        0.343200,      59.120400,  5.000000,      20.042100,           8.256500,      19.464924,           9.009594,     0.577176,         0.753094,     2.879819,         9.121225, 1.330270
    143,  199.445900,           0.376900,               0.279900,        0.343200,      59.120400, 10.000000,      18.024800,           4.120100,      17.482883,           4.154932,     0.541917,         0.034832,     3.006505,         0.845417, 0.576749
    144,  199.445900,           0.376900,               0.279900,        0.343200,      59.120400, 15.000000,      16.210600,           2.056000,      15.862704,           2.124694,     0.347896,         0.068694,     2.146100,         3.341165, 0.416590
    145,  199.445900,           0.376900,               0.279900,        0.343200,      59.120400, 20.000000,      14.579000,           1.025900,      14.093606,           1.221172,     0.485394,         0.195272,     3.329405,        19.034246, 0.680666
    146,  199.445900,           0.376900,               0.279900,        0.343200,      59.120400, 30.000000,      11.791900,           0.255500,      10.985070,           0.000000,     0.806830,         0.255500,     6.842237,       100.000000, 1.062330
    147,  199.445900,           0.376900,               0.279900,        0.343200,      59.120400, 40.000000,       9.537600,           0.063600,       9.414235,           0.000000,     0.123365,         0.063600,     1.293458,       100.000000, 0.186965
