Cellulose, Hemicellulose, Lignin, Solids Loading [g/L], Enzyme Loading [g/L], Time [h], Glucose Concentration [g/L], Xylose Concentration [g/L], Cellobiose Concentration [g/L]
    0.612,         0.134,  0.253,              214.891,                0.693,        8,                      24.415,                     22.322,                          2.995
    0.612,         0.134,  0.253,              214.891,                0.693,       12,                      29.561,                     24.173,                          3.501
    0.612,         0.134,  0.253,              214.891,                0.693,       24,                      41.636,                     26.709,                          4.256
    0.612,         0.134,  0.253,              214.891,                0.693,       48,                      58.514,                     28.549,                          4.450
    0.612,         0.134,  0.253,              214.891,                0.693,       72,                      70.397,                     29.373,                          4.089
    0.612,         0.134,  0.253,              214.891,                0.693,       96,                      79.382,                     29.869,                          3.597
    0.609,         0.106,  0.285,              205.348,                0.701,        0,                       0.000,                      0.000,                          0.000
    0.609,         0.106,  0.285,              205.348,                0.701,        1,                      15.808,                      5.585,                          0.983
    0.609,         0.106,  0.285,              205.348,                0.701,        2,                      20.357,                      8.031,                          1.380
    0.609,         0.106,  0.285,              205.348,                0.701,        4,                      26.374,                     10.879,                          1.876
    0.609,         0.106,  0.285,              205.348,                0.701,        6,                      30.828,                     12.614,                          2.198
    0.609,         0.106,  0.285,              205.348,                0.701,        8,                      34.511,                     13.827,                          2.429
    0.609,         0.106,  0.285,              205.348,                0.701,       12,                      40.566,                     15.463,                          2.731
    0.609,         0.106,  0.285,              205.348,                0.701,       24,                      53.577,                     17.941,                          3.046
    0.609,         0.106,  0.285,              205.348,                0.701,       48,                      69.906,                     19.930,                          2.830
    0.609,         0.106,  0.285,              205.348,                0.701,       72,                      80.499,                     20.870,                          2.382
    0.609,         0.106,  0.285,              205.348,                0.701,       96,                      88.118,                     21.446,                          1.951
    0.603,         0.132,  0.266,              207.126,                0.351,        0,                       0.000,                      0.000,                          0.000
    0.603,         0.132,  0.266,              207.126,                0.351,        1,                       8.399,                      6.657,                          0.743
    0.603,         0.132,  0.266,              207.126,                0.351,        2,                      10.643,                      9.903,                          1.080
    0.603,         0.132,  0.266,              207.126,                0.351,        4,                      13.659,                     13.734,                          1.545
    0.603,         0.132,  0.266,              207.126,                0.351,        6,                      15.964,                     16.060,                          1.890
    0.603,         0.132,  0.266,              207.126,                0.351,        8,                      17.933,                     17.669,                          2.169
    0.603,         0.132,  0.266,              207.126,                0.351,       12,                      21.313,                     19.806,                          2.613
    0.603,         0.132,  0.266,              207.126,                0.351,       24,                      29.300,                     22.933,                          3.465
    0.603,         0.132,  0.266,              207.126,                0.351,       48,                      41.065,                     25.314,                          4.241
    0.603,         0.132,  0.266,              207.126,                0.351,       72,                      50.022,                     26.394,                          4.489
    0.603,         0.132,  0.266,              207.126,                0.351,       96,                      57.289,                     27.041,                          4.493
    0.619,         0.147,  0.234,               84.335,                0.225,        0,                       0.000,                      0.000,                          0.000
    0.619,         0.147,  0.234,               84.335,                0.225,        1,                       4.484,                      2.699,                          0.294
    0.619,         0.147,  0.234,               84.335,                0.225,        2,                       5.718,                      4.160,                          0.430
    0.619,         0.147,  0.234,               84.335,                0.225,        4,                       7.326,                      5.955,                          0.607
    0.619,         0.147,  0.234,               84.335,                0.225,        6,                       8.526,                      7.071,                          0.728
    0.619,         0.147,  0.234,               84.335,                0.225,        8,                       9.539,                      7.853,                          0.820
    0.619,         0.147,  0.234,               84.335,                0.225,       12,                      11.256,                      8.897,                          0.949
    0.619,         0.147,  0.234,               84.335,                0.225,       24,                      15.236,                     10.426,                          1.124
    0.619,         0.147,  0.234,               84.335,                0.225,       48,                      20.920,                     11.578,                          1.126
    0.619,         0.147,  0.234,               84.335,                0.225,       72,                      25.082,                     12.090,                          1.000
    0.619,         0.147,  0.234,               84.335,                0.225,       96,                      28.334,                     12.394,                          0.856
    0.629,         0.102,  0.269,              164.426,                0.537,        0,                       0.000,                      0.000,                          0.000
    0.629,         0.102,  0.269,              164.426,                0.537,        1,                      14.678,                      3.526,                          0.720
    0.629,         0.102,  0.269,              164.426,                0.537,        2,                      18.933,                      5.186,                          1.005
    0.629,         0.102,  0.269,              164.426,                0.537,        4,                      24.386,                      7.233,                          1.349
    0.629,         0.102,  0.269,              164.426,                0.537,        6,                      28.304,                      8.548,                          1.566
    0.629,         0.102,  0.269,              164.426,                0.537,        8,                      31.480,                      9.501,                          1.715
    0.629,         0.102,  0.269,              164.426,                0.537,       12,                      36.596,                     10.830,                          1.902
    0.629,         0.102,  0.269,              164.426,                0.537,       24,                      47.267,                     12.944,                          2.058
    0.629,         0.102,  0.269,              164.426,                0.537,       48,                      60.270,                     14.723,                          1.837
    0.629,         0.102,  0.269,              164.426,                0.537,       72,                      68.570,                     15.586,                          1.505
    0.629,         0.102,  0.269,              164.426,                0.537,       96,                      74.499,                     16.119,                          1.209
    0.568,         0.144,  0.288,              188.293,                1.025,        0,                       0.000,                      0.000,                          0.000
    0.568,         0.144,  0.288,              188.293,                1.025,        1,                       8.511,                     13.438,                          1.068
    0.568,         0.144,  0.288,              188.293,                1.025,        2,                      11.100,                     17.544,                          1.501
    0.568,         0.144,  0.288,              188.293,                1.025,        4,                      15.029,                     21.201,                          2.054
    0.568,         0.144,  0.288,              188.293,                1.025,        6,                      18.296,                     22.980,                          2.414
    0.568,         0.144,  0.288,              188.293,                1.025,        8,                      21.204,                     24.065,                          2.665
    0.568,         0.144,  0.288,              188.293,                1.025,       12,                      26.335,                     25.358,                          2.964
    0.568,         0.144,  0.288,              188.293,                1.025,       24,                      38.455,                     27.021,                          3.108
    0.568,         0.144,  0.288,              188.293,                1.025,       48,                      54.796,                     28.170,                          2.487
    0.568,         0.144,  0.288,              188.293,                1.025,       72,                      65.514,                     28.678,                          1.825
    0.568,         0.144,  0.288,              188.293,                1.025,       96,                      73.099,                     28.984,                          1.335
    0.583,         0.133,  0.284,               73.807,                0.293,        0,                       0.000,                      0.000,                          0.000
    0.583,         0.133,  0.284,               73.807,                0.293,        1,                       4.631,                      2.300,                          0.265
    0.583,         0.133,  0.284,               73.807,                0.293,        2,                       5.942,                      3.501,                          0.376
    0.583,         0.133,  0.284,               73.807,                0.293,        4,                       7.655,                      4.944,                          0.509
    0.583,         0.133,  0.284,               73.807,                0.293,        6,                       8.932,                      5.826,                          0.589
    0.583,         0.133,  0.284,               73.807,                0.293,        8,                      10.004,                      6.437,                          0.641
    0.583,         0.133,  0.284,               73.807,                0.293,       12,                      11.803,                      7.245,                          0.699
    0.583,         0.133,  0.284,               73.807,                0.293,       24,                      15.848,                      8.418,                          0.712
    0.583,         0.133,  0.284,               73.807,                0.293,       48,                      21.244,                      9.296,                          0.567
    0.583,         0.133,  0.284,               73.807,                0.293,       72,                      24.896,                      9.688,                          0.427
    0.583,         0.133,  0.284,               73.807,                0.293,       96,                      27.584,                      9.920,                          0.325
    0.640,         0.115,  0.245,              111.388,                0.319,        0,                       0.000,                      0.000,                          0.000
    0.640,         0.115,  0.245,              111.388,                0.319,        1,                       8.781,                      2.438,                          0.432
    0.640,         0.115,  0.245,              111.388,                0.319,        2,                      11.319,                      3.693,                          0.613
    0.640,         0.115,  0.245,              111.388,                0.319,        4,                      14.554,                      5.284,                          0.836
    0.640,         0.115,  0.245,              111.388,                0.319,        6,                      16.887,                      6.321,                          0.980
    0.640,         0.115,  0.245,              111.388,                0.319,        8,                      18.792,                      7.077,                          1.082
    0.640,         0.115,  0.245,              111.388,                0.319,       12,                      21.895,                      8.135,                          1.213
    0.640,         0.115,  0.245,              111.388,                0.319,       24,                      28.555,                      9.810,                          1.343
    0.640,         0.115,  0.245,              111.388,                0.319,       48,                      37.078,                     11.204,                          1.235
    0.640,         0.115,  0.245,              111.388,                0.319,       72,                      42.775,                     11.870,                          1.034
    0.640,         0.115,  0.245,              111.388,                0.319,       96,                      46.975,                     12.279,                          0.847
    0.644,         0.081,  0.275,              138.083,                0.493,        0,                       0.000,                      0.000,                          0.000
    0.644,         0.081,  0.275,              138.083,                0.493,        1,                      18.218,                      1.586,                          0.517
    0.644,         0.081,  0.275,              138.083,                0.493,        2,                      23.689,                      2.369,                          0.684
    0.644,         0.081,  0.275,              138.083,                0.493,        4,                      30.267,                      3.421,                          0.858
    0.644,         0.081,  0.275,              138.083,                0.493,        6,                      34.663,                      4.161,                          0.946
    0.644,         0.081,  0.275,              138.083,                0.493,        8,                      38.033,                      4.737,                          0.994
    0.644,         0.081,  0.275,              138.083,                0.493,       12,                      43.134,                      5.601,                          1.030
    0.644,         0.081,  0.275,              138.083,                0.493,       24,                      52.701,                      7.148,                          0.965
    0.644,         0.081,  0.275,              138.083,                0.493,       48,                      62.926,                      8.635,                          0.719
    0.644,         0.081,  0.275,              138.083,                0.493,       72,                      68.869,                      9.417,                          0.525
    0.644,         0.081,  0.275,              138.083,                0.493,       96,                      72.911,                      9.917,                          0.391
    0.646,         0.138,  0.216,              143.122,                0.947,        0,                       0.000,                      0.000,                          0.000
    0.646,         0.138,  0.216,              143.122,                0.947,        1,                      10.834,                      8.076,                          0.906
    0.646,         0.138,  0.216,              143.122,                0.947,        2,                      14.063,                     10.927,                          1.232
    0.646,         0.138,  0.216,              143.122,                0.947,        4,                      18.684,                     13.720,                          1.588
    0.646,         0.138,  0.216,              143.122,                0.947,        6,                      22.332,                     15.187,                          1.772
    0.646,         0.138,  0.216,              143.122,                0.947,        8,                      25.463,                     16.122,                          1.867
    0.646,         0.138,  0.216,              143.122,                0.947,       12,                      30.765,                     17.282,                          1.916
    0.646,         0.138,  0.216,              143.122,                0.947,       24,                      42.388,                     18.852,                          1.665
    0.646,         0.138,  0.216,              143.122,                0.947,       48,                      56.476,                     19.991,                          1.043
    0.646,         0.138,  0.216,              143.122,                0.947,       72,                      64.947,                     20.504,                          0.666
    0.646,         0.138,  0.216,              143.122,                0.947,       96,                      70.664,                     20.813,                          0.453
    0.586,         0.120,  0.294,               62.506,                1.059,        0,                       0.000,                      0.000,                          0.000
    0.586,         0.120,  0.294,               62.506,                1.059,        1,                       6.571,                      2.403,                          0.176
    0.586,         0.120,  0.294,               62.506,                1.059,        2,                       8.522,                      3.438,                          0.184
    0.586,         0.120,  0.294,               62.506,                1.059,        4,                      11.065,                      4.558,                          0.171
    0.586,         0.120,  0.294,               62.506,                1.059,        6,                      12.901,                      5.192,                          0.153
    0.586,         0.120,  0.294,               62.506,                1.059,        8,                      14.379,                      5.613,                          0.137
    0.586,         0.120,  0.294,               62.506,                1.059,       12,                      16.716,                      6.153,                          0.111
    0.586,         0.120,  0.294,               62.506,                1.059,       24,                      21.312,                      6.909,                          0.068
    0.586,         0.120,  0.294,               62.506,                1.059,       48,                      26.277,                      7.463,                          0.035
    0.586,         0.120,  0.294,               62.506,                1.059,       72,                      29.078,                      7.707,                          0.022
    0.586,         0.120,  0.294,               62.506,                1.059,       96,                      30.919,                      7.850,                          0.015
    0.641,         0.117,  0.242,              121.600,                0.673,        0,                       0.000,                      0.000,                          0.000
    0.641,         0.117,  0.242,              121.600,                0.673,        1,                      11.478,                      4.104,                          0.634
    0.641,         0.117,  0.242,              121.600,                0.673,        2,                      14.784,                      5.871,                          0.856
    0.641,         0.117,  0.242,              121.600,                0.673,        4,                      19.168,                      7.859,                          1.090
    0.641,         0.117,  0.242,              121.600,                0.673,        6,                      22.417,                      9.028,                          1.208
    0.641,         0.117,  0.242,              121.600,                0.673,        8,                      25.100,                      9.827,                          1.267
    0.641,         0.117,  0.242,              121.600,                0.673,       12,                      29.483,                     10.879,                          1.297
    0.641,         0.117,  0.242,              121.600,                0.673,       24,                      38.678,                     12.417,                          1.141
    0.641,         0.117,  0.242,              121.600,                0.673,       48,                      49.514,                     13.606,                          0.743
    0.641,         0.117,  0.242,              121.600,                0.673,       72,                      56.024,                     14.154,                          0.491
    0.641,         0.117,  0.242,              121.600,                0.673,       96,                      60.452,                     14.486,                          0.342
    0.572,         0.140,  0.288,               57.738,                0.382,        0,                       0.000,                      0.000,                          0.000
    0.572,         0.140,  0.288,               57.738,                0.382,        1,                       3.942,                      2.249,                          0.213
    0.572,         0.140,  0.288,               57.738,                0.382,        2,                       5.079,                      3.359,                          0.288
    0.572,         0.140,  0.288,               57.738,                0.382,        4,                       6.596,                      4.617,                          0.361
    0.572,         0.140,  0.288,               57.738,                0.382,        6,                       7.745,                      5.347,                          0.393
    0.572,         0.140,  0.288,               57.738,                0.382,        8,                       8.713,                      5.834,                          0.406
    0.572,         0.140,  0.288,               57.738,                0.382,       12,                      10.337,                      6.459,                          0.402
    0.572,         0.140,  0.288,               57.738,                0.382,       24,                      13.909,                      7.325,                          0.331
    0.572,         0.140,  0.288,               57.738,                0.382,       48,                      18.398,                      7.947,                          0.206
    0.572,         0.140,  0.288,               57.738,                0.382,       72,                      21.255,                      8.218,                          0.139
    0.572,         0.140,  0.288,               57.738,                0.382,       96,                      23.279,                      8.377,                          0.100
    0.602,         0.101,  0.298,              212.732,                1.049,        0,                       0.000,                      0.000,                          0.000
    0.602,         0.101,  0.298,              212.732,                1.049,        1,                      19.437,                      6.280,                          1.145
    0.602,         0.101,  0.298,              212.732,                1.049,        2,                      25.108,                      8.817,                          1.560
    0.602,         0.101,  0.298,              212.732,                1.049,        4,                      32.626,                     11.659,                          2.031
    0.602,         0.101,  0.298,              212.732,                1.049,        6,                      38.164,                     13.341,                          2.297
    0.602,         0.101,  0.298,              212.732,                1.049,        8,                      42.706,                     14.499,                          2.459
    0.602,         0.101,  0.298,              212.732,                1.049,       12,                      50.069,                     16.039,                          2.611
    0.602,         0.101,  0.298,              212.732,                1.049,       24,                      65.323,                     18.334,                          2.520
    0.602,         0.101,  0.298,              212.732,                1.049,       48,                      83.129,                     20.156,                          1.865
    0.602,         0.101,  0.298,              212.732,                1.049,       72,                      93.795,                     21.012,                          1.317
    0.602,         0.101,  0.298,              212.732,                1.049,       96,                     101.025,                     21.535,                          0.942
    0.624,         0.079,  0.297,              162.341,                0.869,        0,                       0.000,                      0.000,                          0.000
    0.624,         0.079,  0.297,              162.341,                0.869,        1,                      23.418,                      2.411,                          0.691
    0.624,         0.079,  0.297,              162.341,                0.869,        2,                      30.160,                      3.515,                          0.878
    0.624,         0.079,  0.297,              162.341,                0.869,        4,                      38.271,                      4.927,                          1.039
    0.624,         0.079,  0.297,              162.341,                0.869,        6,                      43.692,                      5.876,                          1.096
    0.624,         0.079,  0.297,              162.341,                0.869,        8,                      47.842,                      6.588,                          1.107
    0.624,         0.079,  0.297,              162.341,                0.869,       12,                      54.093,                      7.621,                          1.071
    0.624,         0.079,  0.297,              162.341,                0.869,       24,                      65.622,                      9.364,                          0.855
    0.624,         0.079,  0.297,              162.341,                0.869,       48,                      77.432,                     10.927,                          0.513
    0.624,         0.079,  0.297,              162.341,                0.869,       72,                      83.959,                     11.708,                          0.329
    0.624,         0.079,  0.297,              162.341,                0.869,       96,                      88.240,                     12.194,                          0.227
    0.636,         0.115,  0.250,              201.913,                0.450,        0,                       0.000,                      0.000,                          0.000
    0.636,         0.115,  0.250,              201.913,                0.450,        1,                      13.038,                      5.031,                          0.842
    0.636,         0.115,  0.250,              201.913,                0.450,        2,                      16.735,                      7.432,                          1.208
    0.636,         0.115,  0.250,              201.913,                0.450,        4,                      21.590,                     10.358,                          1.692
    0.636,         0.115,  0.250,              201.913,                0.450,        6,                      25.183,                     12.208,                          2.032
    0.636,         0.115,  0.250,              201.913,                0.450,        8,                      28.168,                     13.531,                          2.295
    0.636,         0.115,  0.250,              201.913,                0.450,       12,                      33.119,                     15.351,                          2.684
    0.636,         0.115,  0.250,              201.913,                0.450,       24,                      44.067,                     18.177,                          3.312
    0.636,         0.115,  0.250,              201.913,                0.450,       48,                      58.673,                     20.491,                          3.635
    0.636,         0.115,  0.250,              201.913,                0.450,       72,                      68.846,                     21.594,                          3.525
    0.636,         0.115,  0.250,              201.913,                0.450,       96,                      76.600,                     22.273,                          3.270
    0.649,         0.064,  0.287,              167.241,                0.192,        0,                       0.000,                      0.000,                          0.000
    0.649,         0.064,  0.287,              167.241,                0.192,        1,                      17.351,                      0.595,                          0.361
    0.649,         0.064,  0.287,              167.241,                0.192,        2,                      23.483,                      0.908,                          0.498
    0.649,         0.064,  0.287,              167.241,                0.192,        4,                      30.989,                      1.364,                          0.664
    0.649,         0.064,  0.287,              167.241,                0.192,        6,                      36.018,                      1.717,                          0.772
    0.649,         0.064,  0.287,              167.241,                0.192,        8,                      39.859,                      2.014,                          0.850
    0.649,         0.064,  0.287,              167.241,                0.192,       12,                      45.621,                      2.507,                          0.957
    0.649,         0.064,  0.287,              167.241,                0.192,       24,                      56.257,                      3.567,                          1.106
    0.649,         0.064,  0.287,              167.241,                0.192,       48,                      67.527,                      4.897,                          1.154
    0.649,         0.064,  0.287,              167.241,                0.192,       72,                      74.212,                      5.772,                          1.105
    0.649,         0.064,  0.287,              167.241,                0.192,       96,                      78.916,                      6.416,                          1.029
    0.589,         0.134,  0.278,              104.734,                0.760,        0,                       0.000,                      0.000,                          0.000
    0.589,         0.134,  0.278,              104.734,                0.760,        1,                       7.395,                      5.349,                          0.536
    0.589,         0.134,  0.278,              104.734,                0.760,        2,                       9.561,                      7.412,                          0.717
    0.589,         0.134,  0.278,              104.734,                0.760,        4,                      12.622,                      9.486,                          0.898
    0.589,         0.134,  0.278,              104.734,                0.760,        6,                      15.023,                     10.589,                          0.976
    0.589,         0.134,  0.278,              104.734,                0.760,        8,                      17.080,                     11.294,                          1.004
    0.589,         0.134,  0.278,              104.734,                0.760,       12,                      20.555,                     12.168,                          0.989
    0.589,         0.134,  0.278,              104.734,                0.760,       24,                      28.143,                     13.345,                          0.787
    0.589,         0.134,  0.278,              104.734,                0.760,       48,                      37.307,                     14.186,                          0.456
    0.589,         0.134,  0.278,              104.734,                0.760,       72,                      42.840,                     14.559,                          0.288
    0.589,         0.134,  0.278,              104.734,                0.760,       96,                      46.607,                     14.781,                          0.198
    0.576,         0.129,  0.294,              115.725,                1.177,        0,                       0.000,                      0.000,                          0.000
    0.576,         0.129,  0.294,              115.725,                1.177,        1,                       8.696,                      6.448,                          0.584
    0.576,         0.129,  0.294,              115.725,                1.177,        2,                      11.362,                      8.673,                          0.734
    0.576,         0.129,  0.294,              115.725,                1.177,        4,                      15.199,                     10.799,                          0.836
    0.576,         0.129,  0.294,              115.725,                1.177,        6,                      18.212,                     11.891,                          0.842
    0.576,         0.129,  0.294,              115.725,                1.177,        8,                      20.770,                     12.580,                          0.812
    0.576,         0.129,  0.294,              115.725,                1.177,       12,                      25.015,                     13.424,                          0.719
    0.576,         0.129,  0.294,              115.725,                1.177,       24,                      33.883,                     14.554,                          0.471
    0.576,         0.129,  0.294,              115.725,                1.177,       48,                      43.919,                     15.364,                          0.239
    0.576,         0.129,  0.294,              115.725,                1.177,       72,                      49.699,                     15.725,                          0.146
    0.576,         0.129,  0.294,              115.725,                1.177,       96,                      53.531,                     15.940,                          0.099
    0.630,         0.149,  0.221,              226.435,                0.604,        0,                       0.000,                      0.000,                          0.000
    0.630,         0.149,  0.221,              226.435,                0.604,        1,                       9.271,                     12.551,                          1.104
    0.630,         0.149,  0.221,              226.435,                0.604,        2,                      11.845,                     17.415,                          1.584
    0.630,         0.149,  0.221,              226.435,                0.604,        4,                      15.552,                     22.344,                          2.247
    0.630,         0.149,  0.221,              226.435,                0.604,        6,                      18.541,                     24.982,                          2.739
    0.630,         0.149,  0.221,              226.435,                0.604,        8,                      21.173,                     26.677,                          3.135
    0.630,         0.149,  0.221,              226.435,                0.604,       12,                      25.806,                     28.780,                          3.749
    0.630,         0.149,  0.221,              226.435,                0.604,       24,                      37.020,                     31.607,                          4.837
    0.630,         0.149,  0.221,              226.435,                0.604,       48,                      53.486,                     33.614,                          5.569
    0.630,         0.149,  0.221,              226.435,                0.604,       72,                      65.661,                     34.499,                          5.553
    0.630,         0.149,  0.221,              226.435,                0.604,       96,                      75.225,                     35.028,                          5.251
    0.637,         0.108,  0.254,               68.128,                0.907,        0,                       0.000,                      0.000,                          0.000
    0.637,         0.108,  0.254,               68.128,                0.907,        1,                       9.203,                      1.966,                          0.224
    0.637,         0.108,  0.254,               68.128,                0.907,        2,                      11.885,                      2.854,                          0.238
    0.637,         0.108,  0.254,               68.128,                0.907,        4,                      15.232,                      3.885,                          0.222
    0.637,         0.108,  0.254,               68.128,                0.907,        6,                      17.551,                      4.509,                          0.199
    0.637,         0.108,  0.254,               68.128,                0.907,        8,                      19.368,                      4.942,                          0.178
    0.637,         0.108,  0.254,               68.128,                0.907,       12,                      22.159,                      5.523,                          0.144
    0.637,         0.108,  0.254,               68.128,                0.907,       24,                      27.425,                      6.387,                          0.088
    0.637,         0.108,  0.254,               68.128,                0.907,       48,                      32.884,                      7.060,                          0.045
    0.637,         0.108,  0.254,               68.128,                0.907,       72,                      35.895,                      7.366,                          0.028
    0.637,         0.108,  0.254,               68.128,                0.907,       96,                      37.857,                      7.548,                          0.020
    0.632,         0.094,  0.274,              198.894,                0.338,        0,                       0.000,                      0.000,                          0.000
