Time (h),Cell concentration (g/L),Glucose concentration (g/L),Xylose concentration (g/L),Ethanol concentration (g/L)
40.0,3.0134254944937457,4.564275215621347e-06,3.582175613484155,9.026850076132455
41.0,3.0356257053225475,2.4925457602806684e-06,3.3046755677859494,9.071250912135948
42.0,3.056476869805978,1.3555169719808907e-06,3.044037433029054,9.112953468508566
43.0,3.076010225960888,7.335282284926976e-07,2.7998712585786105,9.152020305216135
44.0,3.094263386652653,3.9562377821431144e-07,2.57170717231211,9.188526694180556
45.0,3.1112793230815767,2.1242149080900842e-07,2.359008195953419,9.222558603678861
46.0,3.127105411230289,1.1373087804657243e-07,2.1611822174577817,9.254210799714407
47.0,3.1417925092456844,6.073090612166553e-08,1.9775935585153053,9.283585006345193
48.0,3.1553940801303972,3.2360217986356996e-08,1.807573957919755,9.310788153788756
49.0,3.1679653638720993,1.7182547236367625e-08,1.65043293012057,9.335930724307694
50.0,3.179562612171321,9.122856957219541e-09,1.5054673364549116,9.359125222518076
51.0,3.1902423920553664,4.806557087143736e-09,1.3719700932997214,9.380484783149427
52.0,3.2000609680325884,2.473886734423914e-09,1.249237896500283,9.400121935570404
53.0,3.209073766823819,1.305184847843151e-09,1.1365779130707736,9.418147533386605
54.0,3.2173349220177583,6.818888576546838e-10,1.033313473925657,9.434669843899144
55.0,3.22489690005067,3.220831728282368e-10,0.9387887489640099,9.44979380003693
56.0,3.231810202314633,1.9783244327986645e-10,0.8523724708197886,9.463620404589705
57.0,3.238123136642573,1.3260748122581923e-10,0.7734607918020674,9.476246273258628
58.0,3.2438816567655726,3.0098792981615678e-12,0.7014792904265688,9.487763313530547
59.0,3.2491292602852315,-1.916847943505933e-11,0.6358842464585531,9.4982585205743
60.0,3.2539069197860124,4.323791940215936e-11,0.5761635026207851,9.507813839563381
61.0,3.258253082750908,-6.013540021398523e-11,0.521836465688801,9.516506165513848
62.0,3.2622036848212526,6.57274360518671e-12,0.47245393972611766,9.524407369641194
63.0,3.265792202865773,6.95405432735272e-11,0.42759746409089777,9.531584405717643
64.0,3.269049726663775,-1.107068369350678e-10,0.3868784168411855,9.538099453349696
65.0,3.2720050488331704,6.879178873428006e-11,0.34993688949936524,9.544010097652587
66.0,3.2746847672387567,3.54644527484325e-10,0.3164404090722239,9.54936953440659
67.0,3.2771133965994346,-7.747915753093318e-11,0.286082542603905,9.55422679321437
68.0,3.279313484532126,-7.850256038443658e-10,0.25858144432969776,9.558626969221262
69.0,3.2813057305927975,-5.937384637519401e-11,0.23367836766423541,9.562611461197475
70.0,3.283109105482882,9.95225675731408e-10,0.21113618021993194,9.566218210766724
71.0,3.2847409689024136,2.520917081180579e-11,0.19073788868830932,9.56948193779979
72.0,3.28621718447217,-2.035146082532806e-09,0.17228519664179934,9.572434369351374
