Temperature [°C], Cellulose Fraction, Hemicellulose Fraction, Lignin Fraction, Solids Loading [g/L], Time [min], Cellulose Remaining [g/L], Hemicellulose Remaining [g/L], Cellulose Degraded [%], Hemicellulose Degraded [%]
        204.7336,             0.4623,                 0.2766,          0.2611,             105.9362,          5,                   42.2993,                       11.7935,                13.6380,                    59.7450
        204.7336,             0.4623,                 0.2766,          0.2611,             105.9362,         10,                   36.5305,                        4.7474,                25.4161,                    83.7957
        204.7336,             0.4623,                 0.2766,          0.2611,             105.9362,         15,                   31.5484,                        1.9110,                35.5879,                    93.4772
        204.7336,             0.4623,                 0.2766,          0.2611,             105.9362,         20,                   27.2458,                        0.7692,                44.3726,                    97.3744
        204.7336,             0.4623,                 0.2766,          0.2611,             105.9362,         30,                   20.3209,                        0.1246,                58.5111,                    99.5746
        204.7336,             0.4623,                 0.2766,          0.2611,             105.9362,         40,                   15.1560,                        0.0202,                69.0561,                    99.9311
        192.5537,             0.3285,                 0.2775,          0.3939,              87.3170,          0,                   28.6845,                       24.2347,                 0.0000,                     0.0000
        192.5537,             0.3285,                 0.2775,          0.3939,              87.3170,          5,                   26.8907,                       15.2627,                 6.2538,                    37.0214
        192.5537,             0.3285,                 0.2775,          0.3939,              87.3170,         10,                   25.2090,                        9.6122,                12.1165,                    60.3372
        192.5537,             0.3285,                 0.2775,          0.3939,              87.3170,         15,                   23.6324,                        6.0535,                17.6126,                    75.0212
        192.5537,             0.3285,                 0.2775,          0.3939,              87.3170,         20,                   22.1545,                        3.8124,                22.7650,                    84.2689
        192.5537,             0.3285,                 0.2775,          0.3939,              87.3170,         30,                   19.4701,                        1.5120,                32.1233,                    93.7609
        192.5537,             0.3285,                 0.2775,          0.3939,              87.3170,         40,                   17.1110,                        0.5997,                40.3477,                    97.5256
        203.3023,             0.4591,                 0.2337,          0.3072,             106.6295,          0,                   48.9495,                       24.9210,                 0.0000,                     0.0000
        203.3023,             0.4591,                 0.2337,          0.3072,             106.6295,          5,                   42.7402,                       10.6326,                12.6851,                    57.3347
        203.3023,             0.4591,                 0.2337,          0.3072,             106.6295,         10,                   37.3185,                        4.5364,                23.7611,                    81.7970
        203.3023,             0.4591,                 0.2337,          0.3072,             106.6295,         15,                   32.5846,                        1.9354,                33.4321,                    92.2339
        203.3023,             0.4591,                 0.2337,          0.3072,             106.6295,         20,                   28.4512,                        0.8257,                41.8764,                    96.6868
        203.3023,             0.4591,                 0.2337,          0.3072,             106.6295,         30,                   21.6908,                        0.1503,                55.6874,                    99.3970
        203.3023,             0.4591,                 0.2337,          0.3072,             106.6295,         40,                   16.5367,                        0.0273,                66.2167,                    99.8903
        208.7610,             0.3735,                 0.2360,          0.3905,             115.5243,          0,                   43.1537,                       27.2632,                 0.0000,                     0.0000
        208.7610,             0.3735,                 0.2360,          0.3905,             115.5243,          5,                   36.1352,                        9.3183,                16.2638,                    65.8208
        208.7610,             0.3735,                 0.2360,          0.3905,             115.5243,         10,                   30.2583,                        3.1848,                29.8825,                    88.3182
        208.7610,             0.3735,                 0.2360,          0.3905,             115.5243,         15,                   25.3371,                        1.0885,                41.2863,                    96.0075
        208.7610,             0.3735,                 0.2360,          0.3905,             115.5243,         20,                   21.2163,                        0.3720,                50.8355,                    98.6355
        208.7610,             0.3735,                 0.2360,          0.3905,             115.5243,         30,                   14.8762,                        0.0434,                65.5273,                    99.8406
        208.7610,             0.3735,                 0.2360,          0.3905,             115.5243,         40,                   10.4307,                        0.0051,                75.8288,                    99.9814
        203.5689,             0.4526,                 0.2725,          0.2749,              76.1673,          0,                   34.4733,                       20.7580,                 0.0000,                     0.0000
        203.5689,             0.4526,                 0.2725,          0.2749,              76.1673,          5,                   30.0389,                        8.7611,                12.8634,                    57.7943
        203.5689,             0.4526,                 0.2725,          0.2749,              76.1673,         10,                   26.1748,                        3.6976,                24.0721,                    82.1871
        203.5689,             0.4526,                 0.2725,          0.2749,              76.1673,         15,                   22.8078,                        1.5605,                33.8391,                    92.4822
        203.5689,             0.4526,                 0.2725,          0.2749,              76.1673,         20,                   19.8740,                        0.6586,                42.3497,                    96.8273
        203.5689,             0.4526,                 0.2725,          0.2749,              76.1673,         30,                   15.0898,                        0.1173,                56.2275,                    99.4349
        203.5689,             0.4526,                 0.2725,          0.2749,              76.1673,         40,                   11.4573,                        0.0209,                66.7647,                    99.8994
        185.1503,             0.4692,                 0.2951,          0.2357,              65.1952,          0,                   30.5912,                       19.2370,                 0.0000,                     0.0000
        185.1503,             0.4692,                 0.2951,          0.2357,              65.1952,          5,                   29.3294,                       14.1844,                 4.1248,                    26.2651
        185.1503,             0.4692,                 0.2951,          0.2357,              65.1952,         10,                   28.1196,                       10.4588,                 8.0794,                    45.6317
        185.1503,             0.4692,                 0.2951,          0.2357,              65.1952,         15,                   26.9598,                        7.7118,                11.8709,                    59.9118
        185.1503,             0.4692,                 0.2951,          0.2357,              65.1952,         20,                   25.8477,                        5.6862,                15.5060,                    70.4412
        185.1503,             0.4692,                 0.2951,          0.2357,              65.1952,         30,                   23.7594,                        3.0914,                22.3327,                    83.9297
        185.1503,             0.4692,                 0.2951,          0.2357,              65.1952,         40,                   21.8398,                        1.6807,                28.6078,                    91.2631
        197.1639,             0.4786,                 0.2283,          0.2931,              92.3351,          0,                   44.1906,                       21.0828,                 0.0000,                     0.0000
        197.1639,             0.4786,                 0.2283,          0.2931,              92.3351,          5,                   40.4442,                       11.5428,                 8.4779,                    45.2501
        197.1639,             0.4786,                 0.2283,          0.2931,              92.3351,         10,                   37.0154,                        6.3196,                16.2370,                    70.0248
        197.1639,             0.4786,                 0.2283,          0.2931,              92.3351,         15,                   33.8773,                        3.4599,                23.3384,                    83.5889
        197.1639,             0.4786,                 0.2283,          0.2931,              92.3351,         20,                   31.0052,                        1.8942,                29.8377,                    91.0152
        197.1639,             0.4786,                 0.2283,          0.2931,              92.3351,         30,                   25.9708,                        0.5678,                41.2300,                    97.3070
        197.1639,             0.4786,                 0.2283,          0.2931,              92.3351,         40,                   21.7539,                        0.1702,                50.7726,                    99.1929
        205.3623,             0.3977,                 0.2923,          0.3100,             113.4313,          0,                   45.1139,                       33.1592,                 0.0000,                     0.0000
        205.3623,             0.3977,                 0.2923,          0.3100,             113.4313,          5,                   38.7739,                       13.0116,                14.0533,                    60.7602
        205.3623,             0.3977,                 0.2923,          0.3100,             113.4313,         10,                   33.3249,                        5.1056,                26.1316,                    84.6027
        205.3623,             0.3977,                 0.2923,          0.3100,             113.4313,         15,                   28.6416,                        2.0033,                36.5126,                    93.9584
        205.3623,             0.3977,                 0.2923,          0.3100,             113.4313,         20,                   24.6165,                        0.7861,                45.4348,                    97.6294
        205.3623,             0.3977,                 0.2923,          0.3100,             113.4313,         30,                   18.1837,                        0.1210,                59.6937,                    99.6351
        205.3623,             0.3977,                 0.2923,          0.3100,             113.4313,         40,                   13.4319,                        0.0186,                70.2266,                    99.9438
        200.4995,             0.4649,                 0.1804,          0.3548,             145.5289,          0,                   67.6520,                       26.2465,                 0.0000,                     0.0000
        200.4995,             0.4649,                 0.1804,          0.3548,             145.5289,          5,                   60.3532,                       12.5487,                10.7886,                    52.1890
        200.4995,             0.4649,                 0.1804,          0.3548,             145.5289,         10,                   53.8419,                        5.9996,                20.4133,                    77.1414
        200.4995,             0.4649,                 0.1804,          0.3548,             145.5289,         15,                   48.0331,                        2.8684,                28.9997,                    89.0714
        200.4995,             0.4649,                 0.1804,          0.3548,             145.5289,         20,                   42.8510,                        1.3713,                36.6597,                    94.7751
        200.4995,             0.4649,                 0.1804,          0.3548,             145.5289,         30,                   34.1036,                        0.3134,                49.5897,                    98.8058
        200.4995,             0.4649,                 0.1804,          0.3548,             145.5289,         40,                   27.1418,                        0.0716,                59.8802,                    99.7271
        199.1908,             0.4116,                 0.2679,          0.3205,              93.5633,          0,                   38.5079,                       25.0644,                 0.0000,                     0.0000
        199.1908,             0.4116,                 0.2679,          0.3205,              93.5633,          5,                   34.6999,                       12.6380,                 9.8890,                    49.5780
        199.1908,             0.4116,                 0.2679,          0.3205,              93.5633,         10,                   31.2684,                        6.3722,                18.8001,                    74.5765
        199.1908,             0.4116,                 0.2679,          0.3205,              93.5633,         15,                   28.1762,                        3.2129,                26.8300,                    87.1813
        199.1908,             0.4116,                 0.2679,          0.3205,              93.5633,         20,                   25.3899,                        1.6200,                34.0659,                    93.5368
        199.1908,             0.4116,                 0.2679,          0.3205,              93.5633,         30,                   20.6165,                        0.4118,                46.4617,                    98.3570
        199.1908,             0.4116,                 0.2679,          0.3205,              93.5633,         40,                   16.7405,                        0.1047,                56.5271,                    99.5823
        200.7440,             0.4179,                 0.2906,          0.2915,             134.7661,          0,                   56.3165,                       39.1600,                 0.0000,                     0.0000
        200.7440,             0.4179,                 0.2906,          0.2915,             134.7661,          5,                   50.1466,                       18.5378,                10.9557,                    52.6615
        200.7440,             0.4179,                 0.2906,          0.2915,             134.7661,         10,                   44.6527,                        8.7754,                20.7111,                    77.5910
        200.7440,             0.4179,                 0.2906,          0.2915,             134.7661,         15,                   39.7607,                        4.1540,                29.3978,                    89.3922
        200.7440,             0.4179,                 0.2906,          0.2915,             134.7661,         20,                   35.4046,                        1.9664,                37.1328,                    94.9787
        200.7440,             0.4179,                 0.2906,          0.2915,             134.7661,         30,                   28.0718,                        0.4406,                50.1535,                    98.8749
        200.7440,             0.4179,                 0.2906,          0.2915,             134.7661,         40,                   22.2577,                        0.0987,                60.4774,                    99.7479
        209.3119,             0.4289,                 0.2553,          0.3158,             140.3381,          0,                   60.1890,                       35.8317,                 0.0000,                     0.0000
        209.3119,             0.4289,                 0.2553,          0.3158,             140.3381,          5,                   50.1876,                       11.9759,                16.6167,                    66.5773
        209.3119,             0.4289,                 0.2553,          0.3158,             140.3381,         10,                   41.8481,                        4.0026,                30.4723,                    88.8296
        209.3119,             0.4289,                 0.2553,          0.3158,             140.3381,         15,                   34.8943,                        1.3377,                42.0256,                    96.2668
        209.3119,             0.4289,                 0.2553,          0.3158,             140.3381,         20,                   29.0959,                        0.4470,                51.6591,                    98.7524
        209.3119,             0.4289,                 0.2553,          0.3158,             140.3381,         30,                   20.2296,                        0.0499,                66.3899,                    99.8607
        209.3119,             0.4289,                 0.2553,          0.3158,             140.3381,         40,                   14.0650,                        0.0056,                76.6319,                    99.9844
        181.4932,             0.4746,                 0.1583,          0.3671,              79.9100,          0,                   37.9217,                       12.6503,                 0.0000,                     0.0000
        181.4932,             0.4746,                 0.1583,          0.3671,              79.9100,          5,                   36.7631,                       10.0833,                 3.0553,                    20.2920
        181.4932,             0.4746,                 0.1583,          0.3671,              79.9100,         10,                   35.6399,                        8.0372,                 6.0172,                    36.4664
        181.4932,             0.4746,                 0.1583,          0.3671,              79.9100,         15,                   34.5510,                        6.4063,                 8.8887,                    49.3588
        181.4932,             0.4746,                 0.1583,          0.3671,              79.9100,         20,                   33.4953,                        5.1063,                11.6724,                    59.6351
        181.4932,             0.4746,                 0.1583,          0.3671,              79.9100,         30,                   31.4798,                        3.2442,                16.9872,                    74.3550
        181.4932,             0.4746,                 0.1583,          0.3671,              79.9100,         40,                   29.5856,                        2.0611,                21.9823,                    83.7071
        194.7274,             0.3755,                 0.2655,          0.3590,             143.3003,          0,                   53.8047,                       38.0529,                 0.0000,                     0.0000
        194.7274,             0.3755,                 0.2655,          0.3590,             143.3003,          5,                   50.1084,                       22.8810,                 6.8699,                    39.8706
        194.7274,             0.3755,                 0.2655,          0.3590,             143.3003,         10,                   46.6660,                       13.7581,                13.2679,                    63.8448
        194.7274,             0.3755,                 0.2655,          0.3590,             143.3003,         15,                   43.4601,                        8.2725,                19.2263,                    78.2604
        194.7274,             0.3755,                 0.2655,          0.3590,             143.3003,         20,                   40.4744,                        4.9741,                24.7754,                    86.9283
        194.7274,             0.3755,                 0.2655,          0.3590,             143.3003,         30,                   35.1043,                        1.7983,                34.7561,                    95.2742
        194.7274,             0.3755,                 0.2655,          0.3590,             143.3003,         40,                   30.4466,                        0.6501,                43.4127,                    98.2915
        183.5711,             0.4331,                 0.2742,          0.2927,              71.0974,          0,                   30.7915,                       19.4947,                 0.0000,                     0.0000
        183.5711,             0.4331,                 0.2742,          0.2927,              71.0974,          5,                   29.6631,                       14.8661,                 3.6644,                    23.7427
        183.5711,             0.4331,                 0.2742,          0.2927,              71.0974,         10,                   28.5762,                       11.3365,                 7.1945,                    41.8484
        183.5711,             0.4331,                 0.2742,          0.2927,              71.0974,         15,                   27.5290,                        8.6448,                10.5953,                    55.6554
        183.5711,             0.4331,                 0.2742,          0.2927,              71.0974,         20,                   26.5202,                        6.5923,                13.8714,                    66.1842
        183.5711,             0.4331,                 0.2742,          0.2927,              71.0974,         30,                   24.6122,                        3.8335,                20.0680,                    80.3359
        183.5711,             0.4331,                 0.2742,          0.2927,              71.0974,         40,                   22.8415,                        2.2292,                25.8187,                    88.5652
        189.2082,             0.4896,                 0.2477,          0.2626,              73.4208,          0,                   35.9502,                       18.1874,                 0.0000,                     0.0000
        189.2082,             0.4896,                 0.2477,          0.2626,              73.4208,          5,                   34.0457,                       12.3001,                 5.2976,                    32.3702
        189.2082,             0.4896,                 0.2477,          0.2626,              73.4208,         10,                   32.2421,                        8.3185,                10.3146,                    54.2623
        189.2082,             0.4896,                 0.2477,          0.2626,              73.4208,         15,                   30.5340,                        5.6258,                15.0659,                    69.0679
        189.2082,             0.4896,                 0.2477,          0.2626,              73.4208,         20,                   28.9164,                        3.8046,                19.5654,                    79.0809
        189.2082,             0.4896,                 0.2477,          0.2626,              73.4208,         30,                   25.9338,                        1.7401,                27.8620,                    90.4324
        189.2082,             0.4896,                 0.2477,          0.2626,              73.4208,         40,                   23.2588,                        0.7958,                35.3028,                    95.6242
        195.3724,             0.3211,                 0.2856,          0.3933,              59.2805,          0,                   19.0371,                       16.9281,                 0.0000,                     0.0000
        195.3724,             0.3211,                 0.2856,          0.3933,              59.2805,          5,                   17.6641,                        9.9679,                 7.2122,                    41.1165
        195.3724,             0.3211,                 0.2856,          0.3933,              59.2805,         10,                   16.3901,                        5.8694,                13.9042,                    65.3275
        195.3724,             0.3211,                 0.2856,          0.3933,              59.2805,         15,                   15.2080,                        3.4561,                20.1136,                    79.5839
        195.3724,             0.3211,                 0.2856,          0.3933,              59.2805,         20,                   14.1112,                        2.0350,                25.8752,                    87.9786
        195.3724,             0.3211,                 0.2856,          0.3933,              59.2805,         30,                   12.1491,                        0.7055,                36.1818,                    95.8321
        195.3724,             0.3211,                 0.2856,          0.3933,              59.2805,         40,                   10.4599,                        0.2446,                45.0553,                    98.5550
        180.7248,             0.4018,                 0.2034,          0.3948,              97.3502,          0,                   39.1183,                       19.7987,                 0.0000,                     0.0000
        180.7248,             0.4018,                 0.2034,          0.3948,              97.3502,          5,                   38.0116,                       16.0416,                 2.8291,                    18.9767
        180.7248,             0.4018,                 0.2034,          0.3948,              97.3502,         10,                   36.9363,                       12.9974,                 5.5781,                    34.3524
        180.7248,             0.4018,                 0.2034,          0.3948,              97.3502,         15,                   35.8913,                       10.5309,                 8.2493,                    46.8102
        180.7248,             0.4018,                 0.2034,          0.3948,              97.3502,         20,                   34.8759,                        8.5324,                10.8450,                    56.9041
        180.7248,             0.4018,                 0.2034,          0.3948,              97.3502,         30,                   32.9305,                        5.6013,                15.8181,                    71.7088
        180.7248,             0.4018,                 0.2034,          0.3948,              97.3502,         40,                   31.0936,                        3.6771,                20.5139,                    81.4277
        206.3875,             0.3853,                 0.2428,          0.3719,             135.5060,          0,                   52.2159,                       32.8986,                 0.0000,                     0.0000
        206.3875,             0.3853,                 0.2428,          0.3719,             135.5060,          5,                   44.5265,                       12.3827,                14.7261,                    62.3609
        206.3875,             0.3853,                 0.2428,          0.3719,             135.5060,         10,                   37.9695,                        4.6606,                27.2837,                    85.8334
        206.3875,             0.3853,                 0.2428,          0.3719,             135.5060,         15,                   32.3780,                        1.7541,                37.9921,                    94.6681
        206.3875,             0.3853,                 0.2428,          0.3719,             135.5060,         20,                   27.6099,                        0.6602,                47.1235,                    97.9933
        206.3875,             0.3853,                 0.2428,          0.3719,             135.5060,         30,                   20.0768,                        0.0935,                61.5504,                    99.7158
        206.3875,             0.3853,                 0.2428,          0.3719,             135.5060,         40,                   14.5990,                        0.0132,                72.0411,                    99.9597
        203.8257,             0.4248,                 0.2535,          0.3217,              69.6531,          0,                   29.5899,                       17.6547,                 0.0000,                     0.0000
        203.8257,             0.4248,                 0.2535,          0.3217,              69.6531,          5,                   25.7329,                        7.3739,                13.0348,                    58.2324
        203.8257,             0.4248,                 0.2535,          0.3217,              69.6531,         10,                   22.3787,                        3.0799,                24.3705,                    82.5550
        203.8257,             0.4248,                 0.2535,          0.3217,              69.6531,         15,                   19.4617,                        1.2863,                34.2287,                    92.7139
        203.8257,             0.4248,                 0.2535,          0.3217,              69.6531,         20,                   16.9249,                        0.5372,                42.8019,                    96.9570
        203.8257,             0.4248,                 0.2535,          0.3217,              69.6531,         30,                   12.8001,                        0.0937,                56.7416,                    99.4692
        203.8257,             0.4248,                 0.2535,          0.3217,              69.6531,         40,                    9.6806,                        0.0163,                67.2841,                    99.9074
        193.2124,             0.4944,                 0.1964,          0.3092,              88.5177,          0,                   43.7662,                       17.3827,                 0.0000,                     0.0000
        193.2124,             0.4944,                 0.1964,          0.3092,              88.5177,          5,                   40.9472,                       10.7949,                 6.4409,                    37.8988
        193.2124,             0.4944,                 0.1964,          0.3092,              88.5177,         10,                   38.3099,                        6.7037,                12.4670,                    61.4346
        193.2124,             0.4944,                 0.1964,          0.3092,              88.5177,         15,                   35.8423,                        4.1630,                18.1050,                    76.0507
        193.2124,             0.4944,                 0.1964,          0.3092,              88.5177,         20,                   33.5337,                        2.5853,                23.3798,                    85.1275
        193.2124,             0.4944,                 0.1964,          0.3092,              88.5177,         30,                   29.3530,                        0.9970,                32.9322,                    94.2646
        193.2124,             0.4944,                 0.1964,          0.3092,              88.5177,         40,                   25.6936,                        0.3845,                41.2936,                    97.7883
        183.1540,             0.4081,                 0.2406,          0.3512,             114.5093,          0,                   46.7340,                       27.5558,                 0.0000,                     0.0000
        183.1540,             0.4081,                 0.2406,          0.3512,             114.5093,          5,                   45.0785,                       21.2008,                 3.5424,                    23.0623
        183.1540,             0.4081,                 0.2406,          0.3512,             114.5093,         10,                   43.4816,                       16.3114,                 6.9594,                    40.8060
        183.1540,             0.4081,                 0.2406,          0.3512,             114.5093,         15,                   41.9413,                       12.5496,                10.2553,                    54.4577
        183.1540,             0.4081,                 0.2406,          0.3512,             114.5093,         20,                   40.4556,                        9.6553,                13.4345,                    64.9610
        183.1540,             0.4081,                 0.2406,          0.3512,             114.5093,         30,                   37.6401,                        5.7153,                19.4589,                    79.2593
        183.1540,             0.4081,                 0.2406,          0.3512,             114.5093,         40,                   35.0206,                        3.3830,                25.0641,                    87.7230
        193.9683,             0.4963,                 0.2822,          0.2215,             127.9784,          0,                   63.5217,                       36.1098,                 0.0000,                     0.0000
        193.9683,             0.4963,                 0.2822,          0.2215,             127.9784,          5,                   59.2942,                       22.0665,                 6.6552,                    38.8906
        193.9683,             0.4963,                 0.2822,          0.2215,             127.9784,         10,                   55.3481,                       13.4846,                12.8675,                    62.6566
        193.9683,             0.4963,                 0.2822,          0.2215,             127.9784,         15,                   51.6645,                        8.2403,                18.6664,                    77.1799
        193.9683,             0.4963,                 0.2822,          0.2215,             127.9784,         20,                   48.2261,                        5.0355,                24.0793,                    86.0550
        193.9683,             0.4963,                 0.2822,          0.2215,             127.9784,         30,                   42.0206,                        1.8803,                33.8485,                    94.7927
        193.9683,             0.4963,                 0.2822,          0.2215,             127.9784,         40,                   36.6135,                        0.7021,                42.3607,                    98.0556
        195.8156,             0.3945,                 0.2988,          0.3066,             117.3406,          0,                   46.2963,                       35.0669,                 0.0000,                     0.0000
        195.8156,             0.3945,                 0.2988,          0.3066,             117.3406,          5,                   42.8116,                       20.2801,                 7.5269,                    42.1673
        195.8156,             0.3945,                 0.2988,          0.3066,             117.3406,         10,                   39.5892,                       11.7285,                14.4873,                    66.5540
        195.8156,             0.3945,                 0.2988,          0.3066,             117.3406,         15,                   36.6093,                        6.7828,                20.9238,                    80.6576
        195.8156,             0.3945,                 0.2988,          0.3066,             117.3406,         20,                   33.8537,                        3.9226,                26.8758,                    88.8140
        195.8156,             0.3945,                 0.2988,          0.3066,             117.3406,         30,                   28.9492,                        1.3119,                37.4696,                    96.2590
        195.8156,             0.3945,                 0.2988,          0.3066,             117.3406,         40,                   24.7552,                        0.4387,                46.5287,                    98.7489
        207.5677,             0.3915,                 0.2939,          0.3145,             147.0840,          0,                   57.5892,                       43.2344,                 0.0000,                     0.0000
        207.5677,             0.3915,                 0.2939,          0.3145,             147.0840,          5,                   48.6662,                       15.5112,                15.4942,                    64.1230
        207.5677,             0.3915,                 0.2939,          0.3145,             147.0840,         10,                   41.1258,                        5.5648,                28.5877,                    87.1287
        207.5677,             0.3915,                 0.2939,          0.3145,             147.0840,         15,                   34.7536,                        1.9964,                39.6525,                    95.3824
        207.5677,             0.3915,                 0.2939,          0.3145,             147.0840,         20,                   29.3688,                        0.7162,                49.0030,                    98.3435
        207.5677,             0.3915,                 0.2939,          0.3145,             147.0840,         30,                   20.9728,                        0.0922,                63.5821,                    99.7868
        207.5677,             0.3915,                 0.2939,          0.3145,             147.0840,         40,                   14.9770,                        0.0119,                73.9933,                    99.9726
        187.6335,             0.4063,                 0.2103,          0.3834,              51.6291,          0,                   20.9790,                       10.8570,                 0.0000,                     0.0000
        187.6335,             0.4063,                 0.2103,          0.3834,              51.6291,          5,                   19.9627,                        7.5930,                 4.8442,                    30.0635
        187.6335,             0.4063,                 0.2103,          0.3834,              51.6291,         10,                   18.9957,                        5.3102,                 9.4538,                    51.0891
        187.6335,             0.4063,                 0.2103,          0.3834,              51.6291,         15,                   18.0755,                        3.7138,                13.8401,                    65.7937
        187.6335,             0.4063,                 0.2103,          0.3834,              51.6291,         20,                   17.1999,                        2.5973,                18.0138,                    76.0775
